id,text,file,node,lineNumber
line:6ab225ab,"You arrive to a very tall tower, so high you cannot see the top. The taller, the uglier, twisted and indescribable it becomes, seemingly defying the laws of nature. Maybe hell is upwards, maybe you are just loosing your sanity.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,48
line:fc8222dc,"Rumors of greatness, richness, and power have plagued the place since you can remember, yet nobody has ever returned from the climb. As you approximate to the wooden door at the bottom, you see a dark figure, looking at you.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,50
line:46d32b45,- Gatekeeper: Hello adventurer. How will you pay this time?,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,52
line:d0e32c32,"I'm a highborn, I pay no entrance fee",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,57
line:737648ac,"Bribe (pay 20 gold, you become cursed with Corruption)",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,58
line:e5464fdb,"- Gatekeeper: You are a cheap, cheap bastard. You should be ashamed. Anyway...",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,61
line:5f174642,"Blood pact (loose 15 health, gain 10 damage, become cursed with Blood Pact)",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,62
line:c9274135,"You take your blade out, make a cut along the palm of your left hand, and let the blood drip at the hands of the Gatekeeper.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,66
line:583afea5,- Gatekeeper: I see you are a very... intense person. I'll remember this oath of pain.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,67
line:ce0af9d2,Pay entrance fee (loose all you gold),/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,68
line:94430c40,Gatekeeper: Another satisfied customer.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,70
line:02730b37,- Gatekeeper: That will suffice. You can enter the tower now.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,72
line:b82202ae,Enter,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/0_story.yarn,Start,74
line:0ba178d4,Big_Fish,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,4
line:a8341c4a,The_Cleric,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,6
line:3e041b3d,The_Cleric,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,8
line:845512a4,Golden_Idol,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,10
line:126515d3,Face_Trader,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,12
line:8378aa43,Golden_Shrine,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Act1EventsRoll,14
line:4773bacf,"As you make your way down a long corridor you see a banana, a donut, and a box floating about. No... upon closer inspection they are tied to strings coming from holes in the ceiling. There is a quiet cackling from above as you approach the objects.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,20
line:20984b9d,What do you do?,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,21
line:b6a84cea,Banana,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,22
line:0cf94573,"You eat the banana. It is nutritious and slightly magical, healing you.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,23
line:9ac94204,Donut,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,25
line:395c269a,You eat the donut. It really hits the spot! Your Max HP increases.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,26
line:af6c21ed,Box,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,28
line:153d2874,You grab the box. Inside you find a weapon!,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,29
line:830d2f03,"However, you really craved the donut...",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,30
line:12109093,"You are filled with sadness, but mostly regret.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,Big_Fish,31
line:d47c5329,A strange blue humanoid with a golden helm approaches you with a huge smile.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,38
line:31f59449,"""Hello friend! I am Cleric! Are you interested in my services?!"" the creature shouts, loudly.",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,39
line:a7c5933e,Heal (35 gold),/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,40
line:1d949aa7,A warm golden light envelops your body and dissipates.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,41
line:8ba49dd0,The creature grins.,/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,42
line:2831f94e,"Cleric: ""Cleric best healer. Have a good day!""",/home/runner/work/EpicronLibrary/EpicronLibrary/stories/the-spire/source/act1events.yarn,The_Cleric,43
